id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,biosrev,"Bedford Institute of Oceanography, Science Review","l´Institut océanographique de Bedford , Revue des sciences",,1095-9203,begins 1987. Previously it was B.I.O. Review,"Bedford Institute of Oceanography, Science Review ",a http://www.mar.dfo-mpo.gc.ca/science/review/e/Main-e.html
+,123456789s/22,Serial,esrfrept,Environmental Studies Research Funds Report,"Le Fonds pour l'étude de l'environnement, rapport",,,,Environmental Studies Research Funds (ESRF) ,a http://www.esrfunds.org/english_publications.htm
+,123456789s/22,Serial,polknoar,Polar Knowledge: Aqhaliat Report,Le rapport Savoir polaire : Aqhaliat,,,"an online, open-access report published annually by Polar Knowledge Canada (POLAR)",Polar Knowledge: Aqhaliat Report ,a https://www.canada.ca/en/polar-knowledge/aqhaliat.html
+,123456789s/22,Serial,smbnpc,National Parks of Canada,Parcs nationaux du Canada,,,series that ran from 1961 to 1994 (most current editions on Atlas of Canada site). Later editions were included in the MCR series.,National Parks of Canada ,a http://atlas.nrcan.gc.ca/site/english/maps/archives/national park
+,123456789s/22,Serial,pcsptasp,"Polar Continental Shelf Project, Titles and Abstracts of Scientific Papers Supported by PCSP",,0823-3543,,,Polar Continental Shelf Program ,a http://www.nrcan.gc.ca/the-north/polar-continental-shelf-program/polar-shelf/10011
+,123456789s/22,Serial,tctp,Transport Canada Publication (TP),Publication de Transports Canada (TP),,,,Transport Canada Publications (TPs) ,a https://tc.canada.ca/en/marine-transportation/marine-safety/transport-canada-publications-tps
+,123456789s/22,Serial,csacproc,"Canadian Science Advisory Council, Proceedings Series","Secrétariat canadien de consultation scientifique, Série des comptes rendus",,1095-9203,Published by Fisheries and Oceans Canada,Canadian Science Advisory Council Publications ,a http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub%5FIndex%5Fe.htm
+,123456789s/22,Serial,csassr,"Canadian Science Advisory Secretariat, Science Response","Secrétariat canadien de consultation scientifique, Réponse des sciences",,,Published by Fisheries and Oceans Canada,"Canadian Science Advisory Secretariat, Science Response ",a http://www.isdm-gdsi.gc.ca/csas-sccs/applications/Publications/index-eng.asp
+,123456789s/22,Serial,gscchisir,Canadian Hazard Information Service Internal Report,Service canadien d'information sur les dangers rapport interne,,,Started with 2010-1.1,Canadian Hazards Information Service ,a http://ess.nrcan.gc.ca/pri/pub e.php#ch
+,123456789s/22,Serial,taxon,Taxon,Taxon,0040-0262,,,TAXON Online ,a http://www.ingentaconnect.com/content/iapt/tax
+,123456789s/22,Serial,waterst,Water Science and Technology,Water Science and Technology,0273-1223,1996-9732,,Water Science and Technology (on IWA) ,a http://www.iwaponline.com/wst/toc.htm
+,123456789s/22,Serial,science,Science,Science,0036-8075,1095-9203,Science,Science ,a http/://www.sciencemag.org
+,123456789s/22,Serial,adearthsci,Advances in Earth Science,Advances in Earth Science,,1095-9203,,,a http: //www.adearth.ac.cn
+,123456789s/22,Serial,actacs,Acta Chemica Scandinavica,Acta Chemica Scandinavica,,,1947-1999,Acta Chemica Scandinavica ,a http://actachemscand.org/
+,123456789s/22,Serial,earthspasci,Earth and Space Science,Earth and Space Science,,2333-5084,,Earth and Space Science ,a http://agupubs.onlinelibrary.wiley.com/agu/journal/10.1002/(ISSN)2333-5084/
+,123456789s/22,Serial,jhydmet,Journal of Hydrometeorology,Journal of Hydrometeorology,1525-755X,1525-7541,,Journal of Hydrometeorology ,a http://ams.allenpress.com/amsonline/?request=get-archive&issn=1525-7541
+,123456789s/22,Serial,earthint,Earth Interactions,Earth Interactions,,1087-3562,,Earth Interactions ,a http://ams.allenpress.com/perlserv/?request=get-archive&issn=1087-3562
+,123456789s/22,Serial,amsmwr,Monthly Weather Review,Monthly Weather Review,0027-0644,1520-0493,,Monthly Weather Review ,a http://ams.allenpress.com/perlserv/?request=get-archive&issn=1520-0493
+,123456789s/22,Serial,jcciveng,Journal of Computing in Civil Engineering,Journal of Computing in Civil Engineering,0887-3801,1943-5487,,Journal of Computing in Civil Engineering ,a http://ascelibrary.org/journal/jccee5
+,123456789s/22,Serial,iawaj,IAWA Journal,IAWA Journal,0928-1541,2294-1932,,IAWA Journal ,a http://bio.kuleuven.be/sys/iawa/
+,123456789s/22,Serial,ir3,IR3 Infrastructure Resilience Risk Reporter,IR3 Infrastructure Resilience Risk Reporter,,,,Journal Website ,a http://carleton.ca/irrg/journal/
+,123456789s/22,Serial,margins,MARGINS Theoretical and Experimental Earth Science Series,MARGINS Theoretical and Experimental Earth Science Series,,1095-9203,,MARGINS Theoretical and Experimental Earth Science Series ,a http://cup.columbia.edu/series/109
+,123456789s/22,Serial,jseunien,Journal of Southeast University (English Edition),Journal of Southeast University (English Edition),1003-7985,,,Journal of Southeast University (English Edition) ,a http://ddxbywb.paperonce.org/
+,123456789s/22,Serial,faia,Frontiers in Artificial Intelligence and Applications,Frontiers in Artificial Intelligence and Applications,0922-6389,1879-8314,,Frontiers in Artificial Intelligence and Applications ,a http://ebooks.iospress.nl/bookseries/frontiers-in-artificial-intelligence-and-applications
+,123456789s/22,Serial,edgeyknews,EdgeYk News,EdgeYk News,,,,EdgeYK.com News ,a http://edgeyk.com/article-categories/news/
+,123456789s/22,Serial,edgeyk,EdgeYk,EdgeYk,,,,EdgeYK.com ,a http://edgeyk.com/edge-yk-magazine
+,123456789s/22,Serial,bmgeol,Bulletin of the Marine Geology,Bulletin of the Marine Geology,1410-6175,2527-8843,,Bulletin of the Marine Geology ,a http://ejournal.mgi.esdm.go.id/index.php/bomg/about/editorialPolicies#sectionPolicies
+,123456789s/22,Serial,mageogeo,Marine Georesources & Geotechnology,Marine Georesources & Geotechnology,1064-119X,,,Marine Georesources & Geotechnology ,a http://ejournals.ebsco.com/journal.asp?journalid=102476
+,123456789s/22,Serial,margeod,Marine Geodesy,Marine Geodesy,0149-0419,,,Marine Geodesy ,a http://ejournals.ebsco.com/Journal2.asp?JournalID=102475
+,123456789s/22,Serial,ecology,Ecology,Ecology,0012-9658,,,Ecology ,a http://esapubs.org/esapubs/journals/ecology.htm
+,123456789s/22,Serial,arcnews,ArcNews,ArcNews,,1064-6108,,ArcNews ,a http://esri.com/arcnews
+,123456789s/22,Serial,resors,RESORS,RESORS,,,"RESORS is a collection of preprints/reprints on Remote Sensing, compiled by CCRS and archived at ESIC/NRCan.",RESORS ,a http://ess.nrcan.gc.ca/esic/refservices_e.php#other
+,123456789s/22,Serial,jenggasturp,Journal of Engineering for Gas Turbines and Power,Journal of Engineering for Gas Turbines and Power,0742-4795,1528-8919,,Journal of Engineering for Gas Turbines and Power ,a http://gasturbinespower.asmedigitalcollection.asme.org/journal.aspx
+,123456789s/22,Serial,geosphere,Geosphere,Geosphere,1553-040X,1553-040X,,Geosphere ,a http://geosphere.geoscienceworld.org/
+,123456789s/22,Serial,geomatr,Geological Materials Research,Geological Materials Research,,1526-3339,e-journal only,Geological Materials Research ,a http://gmr.minsocam.org/
+,123456789s/22,Serial,gsceng,GeoScience Engineering,GeoScience Engineering,1802-5420,,,GeoScience Engineering ,a http://gse.vsb.cz/ojs/index.php/GSE/about
+,123456789s/22,Serial,geodintek,Geodinamika i Tektonofizika,Geodinamika i Tektonofizika,,2078-502X,,Geodinamika i Tektonofizika ,a http://gt.crust.irk.ru/index.en.html
+,123456789s/22,Serial,bullgsd,"Geological Society of Denmark, Bulletin","Geological Society of Denmark, Bulletin",0011-6297,,,Table of Contents/Abstracts ,a http://home4.inet.tele.dk/dgfth/indhold1.htm
+,123456789s/22,Serial,hydgeol,Hydrogeology,Hydrogeology,2588-3011,2588-4069,,Hydrogeology ,a http://hydro.tabrizu.ac.ir/journal/about?lang=en
+,123456789s/22,Serial,IGARSSP,IEEE International Geoscience and Remote Sensing Symposium proceedings,IEEE International Geoscience and Remote Sensing Symposium proceedings,2153-6996,2153-7003,,"Geoscience and Remote Sensing (IGARSS), IEEE International Symposium ",a http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000307
+,123456789s/22,Serial,oceans,Oceans,Oceans,,,,Oceans (IEEE) ,a http://ieeexplore.ieee.org/xpl/RecentCon.jsp?punumber=8271&conhome=8271
+,123456789s/22,Serial,ieeetec,IEEE Transactions on Electromagnetic Compatibility (Institute of Electrical and Electronics Engineers),IEEE Transactions on Electromagnetic Compatibility (Institute of Electrical and Electronics Engineers),0018-9375,,,IEEE Transactions on Electromagnetic Compatibility ,a http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=15
+,123456789s/22,Serial,ieeetns,IEEE Transactions on Nuclear Science (Institute of Electrical and Electronics Engineers),IEEE Transactions on Nuclear Science (Institute of Electrical and Electronics Engineers),,1095-9203,,IEEE Transactions on Nuclear Science ,a http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=23
+,123456789s/22,Serial,ieeetps,IEEE Transactions on Plasma Science (Institute of Electrical and Electronics Engineers),IEEE Transactions on Plasma Science (Institute of Electrical and Electronics Engineers),,1095-9203,,IEEE Transactions on Plasma Science ,a http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?puNumber=27
+,123456789s/22,Serial,procieee,Proceedings of the IEEE,Proceedings of the IEEE,0018-9219,,continues Proceedings of the IRE,Proceedings of the IEEE ,a http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?puNumber=5
+,123456789s/22,Serial,ieeepem,IEEE Power and Energy Magazine,IEEE Power and Energy Magazine,,,,IEEE Power and Energy Magazine ,a http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8014
+,123456789s/22,Serial,injgeos,Indonesian Journal on Geoscience,Indonesian Journal on Geoscience,2355-9314,2355-9306,,Indonesian Journal on Geoscience ,a http://ijog.bgl.esdm.go.id/index.php/IJOG/about/submissions#authorGuidelines
+,123456789s/22,Serial,ijsem,International Journal of Systematic and Evolutionary Microbiology,International Journal of Systematic and Evolutionary Microbiology,1466-5026,1466-5034,,International Journal of Systematic and Evolutionary Microbiology ,a http://ijs.microbiologyresearch.org/content/journal/ijsem
+,123456789s/22,Serial,aaar,"Arctic, Antarctic and Alpine Research","Arctic, Antarctic and Alpine Research",1923-1245,0004-0843,"This title applies to 1999 and onward. For 1969 to 1998, see Arctic and Alpine Research.","Arctic, Antarctic and Alpine Research ",a http://instaar.colorado.edu/AAAR/
+,123456789s/22,Serial,iodpprel,"Integrated Ocean Drilling Program, Preliminary Report","Integrated Ocean Drilling Program, Preliminary Report",1932-9423,,,"Integrated Ocean Drilling Program, Preliminary Reports ",a http://iodp.tamu.edu/publications/PR.html
+,123456789s/22,Serial,iodpsp,"Integrated Ocean Drilling Program, Scientific Prospectus","Integrated Ocean Drilling Program, Scientific Prospectus",1932-9415,,,"Integrated Ocean Drilling Program, Scientific Prospectuses ",a http://iodp.tamu.edu/publications/SP.html
+,123456789s/22,Serial,envreslet,Environmental Research Letters,Environmental Research Letters,,17489326,,Environmental Research Letters ,a http://iopscience.iop.org/1748-9326
+,123456789s/22,Serial,semist,Semiconductor Science and Technology,Semiconductor Science and Technology,0268-1242,1095-9203,,Semiconductor Science and Technology ,a http://iopscience.iop.org/journal/0268-1242
+,123456789s/22,Serial,jphyscs,Journal of Physics: Conference Series,Journal of Physics: Conference Series,1742-6588,1742-6596,,Journal of Physics: Conference Series ,a http://iopscience.iop.org/journal/1742-6596
+,123456789s/22,Serial,ivsar,Annual Report of the International VLBI Service for Geodesy and Astrometry (IVS),Annual Report of the International VLBI Service for Geodesy and Astrometry (IVS),,,,Annual Report of the International VLBI Service for Geodesy and Astrometry (IVS) ,a http://ivscc.gsfc.nasa.gov/publications/annualreport.html
+,123456789s/22,Serial,jantimicrobchemo,Journal of Antimicrobial Chemotherapy,Journal of Antimicrobial Chemotherapy,0305-7453,1460-2091,cfs,Journal of Antimicrobial Chemotherapy ,a http://jac.oxfordjournals.org/
+,123456789s/22,Serial,jbrchsoc,Journal of the Brazilian Chemical Society,Journal of the Brazilian Chemical Society,0103-5053,1678-4790,,Journal of the Brazilian Chemical Society ,a http://jbcs.sbq.org.br/
+,123456789s/22,Serial,jelectchsoc,Journal of the Electrochemical Society,Journal of the Electrochemical Society,0013-4651,1945-7111,,Journal of the Electrochemical Society ,a http://jes.ecsdl.org/
+,123456789s/22,Serial,arburbfo,Arboriculture and Urban Forestry,Arboriculture and Urban Forestry,,,vol. 32- ; formerly  Journal of Arboriculture for vol. 1-31,Arboriculture and Urban Forestry ,a http://joa.isa-arbor.com/
+,123456789s/22,Serial,cjelcomeng,Canadian Journal of Electrical and Computer Engineering,Canadian Journal of Electrical and Computer Engineering,0840-8688,,,Canadian Journal of Electrical and Computer Engineering ,a http://journal.ieee.ca/en/
+,123456789s/22,Serial,jeeeng,Journal of Earth Energy Engineering,Journal of Earth Energy Engineering,2301-8097,2540-9352,,Journal of Earth Energy Engineering ,a http://journal.uir.ac.id/index.php/JEEE/charge
+,123456789s/22,Serial,jgeet,"JGEET: Journal of Geoscience, Engineering, Environment and Technology","JGEET: Journal of Geoscience, Engineering, Environment and Technology",2503-216X,2541-5794,,"JGEET: Journal of Geoscience, Engineering, Environment and Technology ",a http://journal.uir.ac.id/index.php/JGEET/Author_Fees
+,123456789s/22,Serial,jsyspal,Journal of Systematic Palaeontology,Journal of Systematic Palaeontology,0031-0239,1475-4983,,Journal of Systematic Palaeontology ,a http://journals.cambridge.org/action/displayJournal?jid=SYP&bVolume=y
+,123456789s/22,Serial,antsci,Antarctic Science,Antarctic Science,0954-1020,1095-9203,,Antarctic Science ,a http://journals.cambridge.org/jid%5FANS
+,123456789s/22,Serial,jsynchrad,Journal of Synchrotron Radiation,Journal of Synchrotron Radiation,,1600-5775,,Journal of Synchrotron Radiation ,a http://journals.iucr.org/s/
+,123456789s/22,Serial,japgeosi,Journal of Applied Geospatial Information,Journal of Applied Geospatial Information,2579-3608,,,Journal of Applied Geospatial Information ,a http://jurnal.polibatam.ac.id/index.php/JAGI/payment
+,123456789s/22,Serial,jexpbotany,Journal of Experimental Botany,Journal of Experimental Botany,0022-0957,1460-2431,cfs,Journal of Experimental Botany ,a http://jxb.oxfordjournals.org/
+,123456789s/22,Serial,margeopr,Marine Geophysical Researches,Marine Geophysical Researches,0025-3235,,,Marine Geophysical Researches ,a http://kapis.www.wkap.nl/kapis/CGI-BIN/WORLD/jrnltoc.htm?0025-3235
+,123456789s/22,Serial,igstechrpt,International GNSS Service Technical Report,International GNSS Service Technical Report,,2297-8526,,IGS Publications ,a http://kb.igs.org/hc/en-us/sections/200369233-Progress-and-Technical-Reports
+,123456789s/22,Serial,invzool,Invertebrate Zoology,Invertebrate Zoology,1812-9250,1814-0815,,Invertebrate Zoology ,a http://kmkjournals.com/journals/Inv_Zool
+,123456789s/22,Serial,topgeobio,Topics in Geobiology,Topics in Geobiology,1472-4677,1472-4669,,Topics in Geobiology (SpringerLink) ,a http://link.springer.com/bookseries/6623
+,123456789s/22,Serial,modappses,Modern approaches in solid Earth sciences,Modern approaches in solid Earth sciences,1876-1682,,,Modern Approaches in Solid Earth Sciences ,a http://link.springer.com/bookseries/7377
+,123456789s/22,Serial,ecosystems,Ecosystems,Ecosystems,1432-9840,1435-0629,,Springer Link: Ecosystems ,a http://link.springer.com/journal/10021
+,123456789s/22,Serial,mindep,Mineralium Deposita,Mineralium Deposita,0026-4598,1432-1866,,Mineralium Deposita ,a http://link.springer.com/journal/126
+,123456789s/22,Serial,aos,Acta Oceanologica Sinica,Acta Oceanologica Sinica,0253-505X,1869-1099,,Acta Oceanologica Sinica (Springer Link) ,a http://link.springer.com/journal/13131
+,123456789s/22,Serial,marbiol,Marine Biology,Marine Biology,0025-3162,1432-1793,1967-,Marine Biology (SpringerLink) ,a http://link.springer.com/journal/227
+,123456789s/22,Serial,extremo,Extremophiles,Extremophiles,1431-065,1433-4909,,extremophiles ,a http://link.springer.com/journal/792
+,123456789s/22,Serial,dtifj,Demining Technology Information Forum Journal,Demining Technology Information Forum Journal,,,,Demining Technology Information Forum Journal ,a http://maic.jmu.edu/dtif/
+,123456789s/22,Serial,jfarchaeo,Journal of Field Archaeology,Journal of Field Archaeology,0093-4690,2042-4582,,Journal of Field Archaeology ,a http://maney.co.uk/index.php/journals/jfa/
+,123456789s/22,Serial,astrobio,Astrobiology,Astrobiology,1531-1074,1557-8070,,Astrobiology ,a http://matilde.ingentaselect.com/vl=2607944/cl=30/nw=1/rpsv/catchword/mal/15311074/
+,123456789s/22,Serial,molbioev,Molecular Biology and Evolution,Molecular Biology and Evolution,0737-4038,1537-1719,,Molecular Biology and Evolution ,a http://mbe.oupjournals.org/
+,123456789s/22,Serial,perbiol,Periodicum biologorum,Periodicum biologorum,0031-5362,,interdisciplinary international journal established in 1885 by the Croatian Society of Natural Sciences,Periodicum biologorum ,a http://mcc.irb.hr/instruct.html
+,123456789s/22,Serial,metbull,Meteoritical Bulletin,Meteoritical Bulletin,,,,Meteoritical Bulletin ,a http://meteoriticalsociety.org/simple_template.cfm?code=pub_bulletin
+,123456789s/22,Serial,mimameg,"Micro, Macro & Mezzo Geoinformation","Micro, Macro & Mezzo Geoinformation",1857-9000,1857-9019,,"Micro, Macro & Mezzo Geoinformation ",a http://mmm-gi.geo-see.org/fees/
+,123456789s/22,Serial,niq,Network Industries Quarterly,Network Industries Quarterly,,,,Network Industries Quarterly ,a http://network-industries.org/ni-quarterly
+,123456789s/22,Serial,prtrnsis,Proceedings and Transactions of the Nova Scotian Institute of Science,Proceedings and Transactions of the Nova Scotian Institute of Science,,1095-9203,Continued by Proceedings of the NSIS,Proceedings of the Nova Scotian Institute of Science ,a http://nsis.chebucto.org/publications/
+,123456789s/22,Serial,procnsis,Proceedings of the Nova Scotian Institute of Science,Proceedings of the Nova Scotian Institute of Science,,1095-9203,Preceded by the Proceedings and Transactions of the NSIS.,Proceedings of the Nova Scotian Institute of Science ,a http://nsis.chebucto.org/publications/
+,123456789s/22,Serial,nasatp,"United States National Aeronautics and Space Administration, Technical Publication","United States National Aeronautics and Space Administration, Technical Publication",,,,"United States National Aeronautics and Space Administration, Technical Publication ",a http://ntrs.nasa.gov/search.jsp
+,123456789s/22,Serial,japphys,Journal of Applied Physics,Journal of Applied Physics,0021-8979,1089-7550,,Journal of Applied Physics ,a http://ojps.aip.org/japo
+,123456789s/22,Serial,quaengeo,Quaternary and Environmental Geosciences,Quaternary and Environmental Geosciences,2176-6142,,,Quaternary and Environmental Geosciences ,a http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#authorFees
+,123456789s/22,Serial,paperpal,Papers in Palaeontology,Papers in Palaeontology,0031-0239,1475-4983,successor to Special Papers in Palaeontology,"Wiley Online Library, Papers in Palaeontology ",a http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2056-2802
+,123456789s/22,Serial,envmbio,Environmental Microbiology,Environmental Microbiology,,1462-2920,,Wiley Online Library -Environmental Microbiology ,a http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291462-2920
+,123456789s/22,Serial,femsme,FEMS Microbiology Ecology,FEMS Microbiology Ecology,0012-9658,,,Wiley Online Library - FEMS Microbiology Ecology ,a http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291574-6941
+,123456789s/22,Serial,geostan,Geostandards and Geoanalytical Research,Geostandards and Geoanalytical Research,1639-4488,1751-908X,Continues Geostandards Newsletter,Geostandards and Geoanalytical Research ,a http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-908X
+,123456789s/22,Serial,palelect,Palaeontologia Electronica,Palaeontologia Electronica,1935-3952,1094-8074,,Palaeontologia Electronica ,a http://palaeo-electronica.org/content/
+,123456789s/22,Serial,carngeol,Carnets de Geologie,Carnets de Geologie,1634-0744,,,Carnets de Geologie ,a http://paleopolis.rediris.es/cg/en-Recommendations.html
+,123456789s/22,Serial,pubigcem,"Publications of the Institute of Geophysics (Polish Academy of Sciences). Series C, Earth magnetism","Publications of the Institute of Geophysics (Polish Academy of Sciences). Series C, Earth magnetism",0016-8033,1942-2156,,"Publications of the Institute of Geophysics. Series C, Earth magnetism ",a http://pub.igf.edu.pl/?action=showseries&series=C
+,123456789s/22,Serial,pubig,Publications of the Institute of Geophysics (Polish Academy of Sciences),Publications of the Institute of Geophysics (Polish Academy of Sciences),0016-8033,1942-2156,,"Publications of the Institute of Geophysics. Series C, Earth magnetism ",a http://pub.igf.edu.pl/index.php
+,123456789s/22,Serial,sgsof,"Saskatchewan Geological Survey, Open File Report","Saskatchewan Geological Survey, Open File Report",,,,Saskatchewan Geological Survey Open File Reports ,a http://publications.gov.sk.ca/deplist.cfm?d=310&c=176
+,123456789s/22,Serial,cwatresj,Canadian Water Resources Journal,Revue canadienne des ressources hydriques,0701-1784,,Canadian Water Resources Association,Canadian Water Resources Journal ,a http://pubs.cwra.org/journal/cwrj
+,123456789s/22,Serial,canentomol,The Canadian Entomologist,The Canadian Entomologist,0008-347X,,cfs,The Canadian Entomologist ,a http://pubservices.nrc-cnrc.ca/rp-ps/journalDetail.jsp?jcode =ent&lang=eng
+,123456789s/22,Serial,rips,Rivista Italiana di Paleontologia e Stratigrafia,Rivista Italiana di Paleontologia e Stratigrafia,0035-6883,2039-4942,,Rivista Italiana di Paleontologia e Stratigrafia ,a http://riviste.unimi.it/index.php/RIPS/index
+,123456789s/22,Serial,intjspe,International Journal of Speleology,International Journal of Speleology,0392-6672,1827-806X,,International Journal of Speleology ,a http://scholarcommons.usf.edu/ijs/aimsandscope.html
+,123456789s/22,Serial,podrad,Podzemni Radovi,Podzemni Radovi,0354-2904,2560-3337,,Podzemni Radovi ,a http://scindeks.ceon.rs/journalDetails.aspx?issn=0354-2904&lang=en
+,123456789s/22,Serial,jmmsamin,Journal of Mining and Metallurgy. Section A: Mining,Journal of Mining and Metallurgy. Section A: Mining,1450-5959,2560-3159,,Journal of Mining and Metallurgy. Section A: Mining ,a http://scindeks.ceon.rs/PublicationPolicy.aspx?issn=1450-5959&lang=en#ppAC
+,123456789s/22,Serial,interpretation,Interpretation,Interpretation,2324-8858,2324-8866,SEG-AAPG,Interpretation ,a http://seg.org/Publications/Journals/Interpretation
+,123456789s/22,Serial,bullsocentomolsuisse,Bulletin de la Societe Entomologique Suisse,Bulletin de la Société Entomologique Suisse,0036-7575,,cfs,Bulletin de la Societe Entomologique Suisse ,a http://seg.scnatweb.ch/html/publikationen.html
+,123456789s/22,Serial,ordonews,Ordovician News,Ordovician News,,,,Ordovician News ,a http://seis.natsci.csulb.edu/ISOS/ISOS%20Newsletter.htm
+,123456789s/22,Serial,landfan,Landform Analysis,Landform Analysis,1429-799X,2081-5980,,Landform Analysis ,a http://sgp.home.amu.edu.pl/la/lasub.htm
+,123456789s/22,Serial,gnssms,GNS Science Miscellaneous Series,GNS Science Miscellaneous Series,1177-2441,1172-2886,,GNS Science Miscellaneous Series ,a http://shop.gns.cri.nz/publications/miscellaneous-series/
+,123456789s/22,Serial,soundwaves,Sound Waves,Sound Waves,,,"Monthly newsletter produced by the U.S. Geological Survey, online from January 1999 to present.",Sound Waves ,a http://soundwaves.usgs.gov/
+,123456789s/22,Serial,jaremsens,Journal of Applied Remote Sensing,Journal of Applied Remote Sensing,,1931-3195,,Journal of Applied Remote Sensing ,a http://spie.org/x3636.xml
+,123456789s/22,Serial,theoreticalappliedgenetics,Theoretical and Applied Genetics,Theoretical and Applied Genetics,0040-5752,1432-2242,,Journal web site ,a http://springerlink.com/content/100386/
+,123456789s/22,Serial,watresm,Water Resources Management,Water Resources Management,0920-4741,,,Water Resources Management ,a http://springerlink.metapress.com/content/103011/
+,123456789s/22,Serial,aquaeco,Aquatic Ecology,Aquatic Ecology,0012-9658,,,Aquatic Ecology ,a http://springerlink.metapress.com/content/1573-5125/
+,123456789s/22,Serial,tatosci,"Terrestrial, Atmospheric and Oceanic Sciences","Terrestrial, Atmospheric and Oceanic Sciences",1017-0839,2311-7680,,"Terrestrial, Atmospheric and Oceanic Sciences ",a http://tao.cgu.org.tw/index.php/submission/guide-for-authors
+,123456789s/22,Serial,thersci,Thermal Science,Thermal Science,0354-9836,2334-7163,,Thermal Science ,a http://thermalscience.vinca.rs/About
+,123456789s/22,Serial,vekgeon,Vektor GeoNauk (Vector of Geosciences),Vektor GeoNauk (Vector of Geosciences),,2619-0761,,Vektor GeoNauk ,a http://vektorgeonauk.ru/en/about-journal/
